"d11","d12","d13","d14","d21","d22","d23","d24","d31","d32","d33","d34"
0.0302977922346383,0.0733687636617986,0.0733687636617986,0.260497306753002,0.0979054471229341,0.0979054471229342,0.0489180435174334,0.0489180435174334,0.0522008667672499,0.0226278645934285,0.0522008667672499,0.141790794280098
0.164957920997602,0.107444172714613,0.0598487153783821,0.0261008817576793,0.0520664541446467,0.0520664541446467,0.0520664541446468,0.0520664541446466,0.201240638700674,0.119747065614247,0.0786848704122981,0.033709917845917
0.00575771244914649,0.0134267004485372,0.0248553802203384,0.0478930286538719,0.00699038646134286,0.0163074177827214,0.0308238515572006,0.0610919811647448,0.135803993520586,0.163327850076052,0.205016991641864,0.288704706023595
0.150425838037252,0.0559525025833779,0.0559525025833779,0.0239645524169575,0.122508686510932,0.122508686510932,0.0770794518253112,0.0467815215169772,0.161083974394601,0.095373104089453,0.0620418742266047,0.0263273053042243
0.0287053573105388,0.0668154968663333,0.128304232210857,0.258806093318387,0.0790203445722109,0.0410524153448438,0.0221565632794095,0.00953518489764838,0.214949486306597,0.0887411319659055,0.0439415352536141,0.0179721586736556
0.197900244871778,0.197900244871778,0.197900244871779,0.197900244871779,0.0372729459861592,0.0372729459861592,0.0372729459861592,0.0372729459861592,0.00487618469354582,0.00487618469354583,0.0147671253570917,0.0347877418240662
0.00965913260176555,0.0217636620953122,0.0369297567548375,0.0537852964640154,0.00343191174998226,0.00802834568910546,0.0149570496776531,0.0287825418438903,0.143137367280873,0.170966957780995,0.212788666277162,0.295769311784409
0.0788268406557682,0.143796975021201,0.185839007696822,0.268380127234743,0.010695925837931,0.025259475997374,0.0481998473874415,0.0974159307033004,0.00886437754623862,0.0206752650699054,0.0383575832579028,0.0736886435913718
0.123100599717941,0.123100599717939,0.123100599717942,0.123100599717943,0.0305976744119994,0.0305976744119995,0.0305976744119993,0.215643069568431,0.0251373498135289,0.0251373498135289,0.025137349813529,0.124749458883218
0.183692857401309,0.183692857401308,0.18369285740131,0.18369285740131,0.017534593522873,0.0175345935228731,0.0175345935228731,0.0952565407963506,0.00731882992469763,0.0170920935503899,0.0316582692033449,0.0612990563513598
0.191170482520931,0.19117048252093,0.191170482520931,0.191170482520931,0.00985670062964352,0.0235561433450851,0.0235561433450851,0.0837706052732911,0.023644619330793,0.023644619330793,0.023644619330793,0.023644619330793
0.191384519514192,0.191384519514192,0.191384519514193,0.191384519514193,0.00970801686803974,0.00970801686803974,0.0319538864150187,0.0904789273802562,0.0231532686029688,0.0231532686029688,0.0231532686029688,0.0231532686029688
0.196433950289419,0.196433950289418,0.196433950289419,0.196433950289419,0.0285889014484745,0.0285889014484745,0.0285889014484745,0.0285889014484745,0.0249771482621067,0.0249771482621067,0.0249771482621067,0.0249771482621067
0.0441627124335035,0.0865782292109919,0.115827327392141,0.175560191922003,0.0528858492835871,0.0275924540857583,0.0147970550070353,0.00636590546423965,0.119057568800185,0.119057568800185,0.119057568800185,0.119057568800185
0.188020576921618,0.188020576921617,0.188020576921619,0.188020576921619,0.00799254728778742,0.0190671842990587,0.0369491326108453,0.082718885334826,0.0252974856952523,0.0252974856952523,0.0252974856952523,0.0252974856952523
0.14584254040498,0.145842540404979,0.145842540404981,0.145842540404981,0.0604021073735426,0.0604021073735426,0.0604021073735426,0.0366330590273301,0.0496976143080304,0.0496976143080304,0.0496976143080304,0.0496976143080304
0.0290567200574819,0.0669996733332317,0.121591433229564,0.188368184069603,0.199780286779037,0.11319492787838,0.0712370497880038,0.0434403861462951,0.0104697951771599,0.0242540255422341,0.0450889412577247,0.0865185767412849
0.196184781905063,0.196184781905063,0.196184781905064,0.196184781905064,0.0287317013483177,0.0287317013483177,0.0287317013483178,0.0287317013483178,0.0250835167466188,0.0250835167466188,0.0250835167466188,0.0250835167466188
0.190111604839821,0.190111604839821,0.190111604839822,0.190111604839822,0.0319087673077355,0.0319087673077355,0.0319087673077354,0.0319087673077355,0.0140385346703314,0.0140385346703314,0.0419207210345543,0.0419207210345543
0.214208934366604,0.123259071650065,0.0772311093660859,0.045980792906635,0.00645970348994429,0.0149019713874497,0.0276977382225865,0.0527249260820321,0.0445903489764742,0.0883916163122826,0.120558644600473,0.183995142639369
